old_url,new_url,status,nota
/,/,OK,Path idéntico en el build nuevo
/404,,INFO,Artefacto del sitemap de Framer; el nuevo sitemap no lo incluye. Sin acción.
/about-us,/about-us,OK,Path idéntico en el build nuevo
/author/diego-priliac,/author/diego-priliac,OK,Path idéntico en el build nuevo
/author/federico-sendra,/author/federico-sendra,OK,Path idéntico en el build nuevo
/author/juan-manuel-sobral,/author/juan-manuel-sobral,OK,Path idéntico en el build nuevo
/blockaudit-smart-contract-and-blockchain-security,/blockaudit-smart-contract-and-blockchain-security,OK,Path idéntico en el build nuevo
/blockchain-development-services,/blockchain-development-services,OK,Path idéntico en el build nuevo
/blockchain-development-services/asset-tokenization,/blockchain-development-services/asset-tokenization,OK,Path idéntico en el build nuevo
/blockchain-development-services/blockchain-for-banks,/blockchain-development-services/blockchain-for-banks,OK,Path idéntico en el build nuevo
/blockchain-development-services/blockchain-partner,/blockchain-development-services/blockchain-partner,OK,Path idéntico en el build nuevo
/blockchain-development-services/dapp-development,/blockchain-development-services/dapp-development,OK,Path idéntico en el build nuevo
/blockchain-development-services/smart-contract-development,/blockchain-development-services/smart-contract-development,OK,Path idéntico en el build nuevo
/blog,/blog,OK,Path idéntico en el build nuevo
/careers,/careers,OK,Path idéntico en el build nuevo
/case-study/acme,/case-study/acme,OK,Path idéntico en el build nuevo
/case-study/apebond,/case-study/apebond,OK,Path idéntico en el build nuevo
/case-study/athleteai,/case-study/athleteai,OK,Path idéntico en el build nuevo
/case-study/blockchain-for-energy,/case-study/blockchain-for-energy,OK,Path idéntico en el build nuevo
/case-study/blockus,/case-study/blockus,OK,Path idéntico en el build nuevo
/case-study/bondi-finance,/case-study/bondi-finance,OK,Path idéntico en el build nuevo
/case-study/drata,/case-study/drata,OK,Path idéntico en el build nuevo
/case-study/fightfi,/case-study/fightfi,OK,Path idéntico en el build nuevo
/case-study/gallery,/case-study/gallery,OK,Path idéntico en el build nuevo
/case-study/genba,/case-study/genba,OK,Path idéntico en el build nuevo
/case-study/glowy-music,/case-study/glowy-music,OK,Path idéntico en el build nuevo
/case-study/iaffirm,/case-study/iaffirm,OK,Path idéntico en el build nuevo
/case-study/mostaza,/case-study/mostaza,OK,Path idéntico en el build nuevo
/case-study/ndax-canada,/case-study/ndax-canada,OK,Path idéntico en el build nuevo
/case-study/nga,/case-study/nga,OK,Path idéntico en el build nuevo
